Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Japan,Electronics,Online,Critical,2022-09-08,112089,2022-09-18,23,281.31,178.44,6470.13,4104.12,2366.01
South America,Colombia,Office Supplies,Offline,Medium,2022-12-02,779877,2022-12-07,393,346.88,310.98,136323.84,122215.14,14108.7
Asia,China,Clothing,Offline,Critical,2022-11-03,975480,2022-11-23,162,158.2,120.42,25628.4,19508.04,6120.36
Europe,Spain,Electronics,Offline,Low,2021-04-09,878489,2021-04-11,196,152.29,83.42,29848.84,16350.32,13498.52
Africa,Kenya,Furniture,Online,Medium,2021-09-15,415036,2021-09-20,45,59.25,47.26,2666.25,2126.7,539.55
Australia,New Zealand,Food,Offline,Critical,2021-04-06,919192,2021-04-25,246,461.6,284.87,113553.6,70078.02,43475.58
Australia,New Zealand,Beverages,Online,Medium,2020-02-01,887671,2020-02-11,475,204.18,177.67,96985.5,84393.25,12592.25
Europe,France,Beverages,Online,Low,2023-07-07,211288,2023-07-14,132,385.32,345.23,50862.24,45570.36,5291.88
Australia,New Zealand,Food,Online,Low,2023-10-31,396026,2023-11-19,304,286.45,251.92,87080.8,76583.68,10497.12
South America,Chile,Office Supplies,Offline,Low,2022-12-16,949918,2022-12-22,11,457.48,317.88,5032.28,3496.68,1535.6
Asia,China,Food,Offline,Critical,2023-04-27,401946,2023-05-02,320,180.22,150.82,57670.4,48262.4,9408.0
Australia,Australia,Clothing,Online,Low,2021-08-24,810596,2021-09-06,96,405.89,311.36,38965.44,29890.56,9074.88
South America,Chile,Beverages,Online,High,2020-05-05,198513,2020-05-10,130,53.18,27.97,6913.4,3636.1,3277.3
Asia,India,Furniture,Online,Medium,2020-12-07,902387,2020-12-23,37,388.75,208.58,14383.75,7717.46,6666.29
Africa,South Africa,Beverages,Offline,Medium,2022-08-28,980976,2022-08-30,195,185.23,103.41,36119.85,20164.95,15954.9
Africa,Kenya,Furniture,Online,Critical,2020-07-09,179572,2020-07-21,324,176.79,109.41,57279.96,35448.84,21831.12
Europe,UK,Beverages,Offline,Medium,2023-03-22,846431,2023-04-03,429,343.27,303.31,147262.83,130119.99,17142.84
Africa,Kenya,Food,Offline,Critical,2020-12-03,567986,2020-12-16,367,449.54,260.07,164981.18,95445.69,69535.49
Australia,Australia,Furniture,Offline,High,2023-09-18,599949,2023-09-24,344,307.95,218.59,105934.8,75194.96,30739.84
Africa,Kenya,Office Supplies,Offline,Low,2022-06-07,224625,2022-06-13,381,261.14,189.96,99494.34,72374.76,27119.58
South America,Brazil,Clothing,Online,Medium,2021-05-10,360768,2021-05-14,440,301.48,256.69,132651.2,112943.6,19707.6
North America,Canada,Beverages,Online,Medium,2020-01-02,620092,2020-01-16,280,137.97,103.44,38631.6,28963.2,9668.4
Asia,South Korea,Clothing,Offline,High,2023-07-14,428239,2023-07-27,318,420.0,222.13,133560.0,70637.34,62922.66
North America,Mexico,Furniture,Online,Critical,2023-10-04,605255,2023-10-06,161,271.03,217.81,43635.83,35067.41,8568.42
Europe,Italy,Beverages,Offline,High,2023-01-08,520518,2023-01-10,315,247.21,218.0,77871.15,68670.0,9201.15
Australia,Australia,Clothing,Offline,Low,2023-01-06,391126,2023-01-24,404,156.31,92.88,63149.24,37523.52,25625.72
South America,Brazil,Food,Offline,Critical,2023-03-16,495138,2023-03-19,443,59.66,52.19,26429.38,23120.17,3309.21
North America,Canada,Furniture,Offline,Critical,2021-04-22,112948,2021-04-24,205,363.74,230.92,74566.7,47338.6,27228.1
Australia,New Zealand,Office Supplies,Offline,Critical,2021-11-06,208731,2021-11-23,414,168.92,108.73,69932.88,45014.22,24918.66
North America,Canada,Beverages,Offline,Medium,2022-02-07,300919,2022-02-27,95,217.79,141.24,20690.05,13417.8,7272.25
Asia,South Korea,Beverages,Online,Medium,2021-02-16,683966,2021-03-06,7,462.35,293.26,3236.45,2052.82,1183.63
Asia,Indonesia,Office Supplies,Offline,High,2023-06-27,737142,2023-07-02,483,92.19,71.9,44527.77,34727.7,9800.07
Asia,South Korea,Food,Online,Critical,2022-03-06,135524,2022-03-26,79,174.02,140.53,13747.58,11101.87,2645.71
Australia,New Zealand,Beverages,Online,Critical,2023-03-22,824395,2023-04-04,110,337.19,249.77,37090.9,27474.7,9616.2
Australia,New Zealand,Furniture,Online,Medium,2021-05-27,714819,2021-06-04,122,354.54,256.31,43253.88,31269.82,11984.06
Asia,Japan,Clothing,Online,High,2020-02-21,447558,2020-03-03,399,438.54,255.19,174977.46,101820.81,73156.65
Europe,France,Food,Offline,Critical,2021-03-08,879609,2021-03-26,109,153.01,108.6,16678.09,11837.4,4840.69
South America,Colombia,Furniture,Offline,Low,2022-04-09,611472,2022-04-23,429,300.92,152.65,129094.68,65486.85,63607.83
Europe,Spain,Food,Online,Critical,2021-07-29,793017,2021-08-12,334,187.81,141.62,62728.54,47301.08,15427.46
Europe,UK,Clothing,Online,Low,2020-08-30,850985,2020-09-14,28,227.28,180.25,6363.84,5047.0,1316.84
Europe,Spain,Electronics,Online,Medium,2022-09-02,572098,2022-09-12,165,223.37,153.54,36856.05,25334.1,11521.95
North America,Canada,Beverages,Offline,Critical,2023-11-26,355454,2023-11-30,265,145.87,121.23,38655.55,32125.95,6529.6
Australia,New Zealand,Beverages,Online,Low,2023-11-21,702191,2023-11-25,204,463.71,390.8,94596.84,79723.2,14873.64
Europe,UK,Beverages,Online,Critical,2023-05-03,172031,2023-05-21,8,266.3,158.76,2130.4,1270.08,860.32
Africa,Kenya,Beverages,Online,Medium,2023-07-25,518907,2023-08-05,309,115.03,83.38,35544.27,25764.42,9779.85
Asia,India,Furniture,Online,Critical,2022-01-26,156821,2022-01-29,320,41.82,25.4,13382.4,8128.0,5254.4
Europe,Spain,Office Supplies,Offline,Critical,2020-08-11,479118,2020-08-24,419,370.31,243.25,155159.89,101921.75,53238.14
South America,Brazil,Beverages,Offline,Low,2020-04-12,767618,2020-04-27,74,249.22,158.74,18442.28,11746.76,6695.52
Asia,Indonesia,Food,Online,Critical,2023-07-08,646090,2023-07-24,460,405.28,216.91,186428.8,99778.6,86650.2
North America,Mexico,Electronics,Offline,High,2022-06-01,136748,2022-06-11,379,385.45,283.12,146085.55,107302.48,38783.07
Asia,Indonesia,Furniture,Offline,Medium,2022-03-08,134443,2022-03-16,251,98.11,54.6,24625.61,13704.6,10921.01
Australia,New Zealand,Beverages,Offline,Low,2021-08-18,301379,2021-08-22,47,89.64,56.79,4213.08,2669.13,1543.95
North America,Mexico,Furniture,Online,High,2020-06-03,891435,2020-06-12,417,94.98,79.29,39606.66,33063.93,6542.73
Australia,New Zealand,Beverages,Online,Low,2023-04-16,517984,2023-05-01,187,178.26,122.83,33334.62,22969.21,10365.41
Australia,New Zealand,Food,Online,Critical,2020-07-08,100327,2020-07-22,348,62.32,45.6,21687.36,15868.8,5818.56
Europe,Germany,Clothing,Online,High,2021-09-29,639855,2021-10-02,295,130.53,81.68,38506.35,24095.6,14410.75
Europe,France,Office Supplies,Offline,Medium,2022-05-30,509932,2022-06-05,442,431.71,324.86,190815.82,143588.12,47227.7
North America,USA,Electronics,Online,High,2021-12-23,352568,2021-12-26,21,362.54,296.11,7613.34,6218.31,1395.03
Europe,Germany,Furniture,Offline,High,2023-08-16,967417,2023-08-27,400,92.71,63.75,37084.0,25500.0,11584.0
Asia,India,Office Supplies,Online,Medium,2023-01-20,955640,2023-02-06,431,337.47,302.87,145449.57,130536.97,14912.6
Asia,Japan,Beverages,Offline,Medium,2022-05-05,705242,2022-05-19,378,485.15,335.35,183386.7,126762.3,56624.4
Asia,South Korea,Electronics,Online,Critical,2023-07-14,875540,2023-07-19,251,69.1,54.9,17344.1,13779.9,3564.2
Africa,South Africa,Furniture,Offline,Medium,2021-09-02,361789,2021-09-11,399,494.32,375.08,197233.68,149656.92,47576.76
Australia,Australia,Electronics,Offline,Low,2023-06-25,669621,2023-07-03,22,419.81,216.24,9235.82,4757.28,4478.54
South America,Brazil,Clothing,Online,Medium,2021-09-29,504515,2021-10-18,254,478.96,326.82,121655.84,83012.28,38643.56
North America,Canada,Office Supplies,Online,High,2021-04-22,194440,2021-05-07,263,436.99,278.47,114928.37,73237.61,41690.76
Asia,Indonesia,Electronics,Offline,High,2020-05-01,892355,2020-05-21,423,465.77,364.48,197020.71,154175.04,42845.67
North America,Canada,Furniture,Online,Critical,2023-11-22,682841,2023-12-05,497,20.38,12.03,10128.86,5978.91,4149.95
Africa,Kenya,Beverages,Offline,High,2021-09-14,488617,2021-10-04,314,239.25,185.18,75124.5,58146.52,16977.98
South America,Brazil,Clothing,Offline,Critical,2021-06-12,830782,2021-06-27,183,317.16,216.85,58040.28,39683.55,18356.73
Europe,Spain,Furniture,Online,Medium,2023-02-21,724410,2023-03-13,381,87.98,57.19,33520.38,21789.39,11730.99
Africa,South Africa,Electronics,Online,Critical,2022-03-20,169524,2022-04-01,118,55.11,41.58,6502.98,4906.44,1596.54
Europe,Spain,Food,Offline,Low,2023-04-24,137275,2023-05-04,182,136.12,111.57,24773.84,20305.74,4468.1
Africa,Egypt,Beverages,Offline,Critical,2023-12-22,914626,2024-01-09,299,405.93,310.44,121373.07,92821.56,28551.51
Europe,UK,Clothing,Online,Medium,2021-02-03,931348,2021-02-09,479,326.24,170.89,156268.96,81856.31,74412.65
South America,Colombia,Beverages,Offline,High,2022-03-31,952215,2022-04-17,169,335.31,285.32,56667.39,48219.08,8448.31
Asia,South Korea,Furniture,Online,Critical,2020-11-06,890907,2020-11-23,290,266.97,238.05,77421.3,69034.5,8386.8
North America,Mexico,Electronics,Offline,High,2020-10-15,273357,2020-10-27,197,43.28,31.1,8526.16,6126.7,2399.46
Asia,India,Food,Offline,High,2022-10-18,486674,2022-10-24,56,262.24,203.3,14685.44,11384.8,3300.64
Africa,Egypt,Office Supplies,Offline,Low,2022-02-23,648789,2022-03-15,5,368.14,187.73,1840.7,938.65,902.05
Asia,India,Office Supplies,Offline,Critical,2022-12-30,555475,2023-01-08,302,120.1,90.93,36270.2,27460.86,8809.34
Europe,France,Beverages,Offline,Medium,2020-04-24,634811,2020-05-06,304,85.74,49.72,26064.96,15114.88,10950.08
Asia,Japan,Beverages,Offline,Low,2021-01-20,611189,2021-01-29,433,131.53,84.31,56952.49,36506.23,20446.26
Africa,Egypt,Furniture,Online,High,2021-11-23,599164,2021-12-10,282,125.51,95.56,35393.82,26947.92,8445.9
Australia,New Zealand,Beverages,Online,Medium,2020-07-21,332160,2020-07-29,63,40.99,26.42,2582.37,1664.46,917.91
South America,Brazil,Electronics,Offline,High,2023-05-27,977432,2023-06-09,6,33.47,21.35,200.82,128.1,72.72
South America,Colombia,Office Supplies,Offline,Low,2021-08-15,784637,2021-08-19,388,106.35,58.46,41263.8,22682.48,18581.32
Australia,New Zealand,Electronics,Online,Low,2020-11-03,817163,2020-11-14,338,324.61,181.92,109718.18,61488.96,48229.22
North America,Mexico,Beverages,Online,High,2020-06-22,551492,2020-07-08,275,139.83,91.83,38453.25,25253.25,13200.0
Australia,Australia,Electronics,Online,Critical,2020-07-13,666878,2020-08-01,92,220.22,165.09,20260.24,15188.28,5071.96
Australia,Australia,Electronics,Online,High,2023-12-30,325670,2024-01-04,328,152.45,129.05,50003.6,42328.4,7675.2
Africa,Kenya,Beverages,Offline,Critical,2021-04-20,911589,2021-04-27,137,84.1,49.51,11521.7,6782.87,4738.83
Africa,Egypt,Office Supplies,Online,High,2023-09-08,771531,2023-09-22,32,141.39,87.86,4524.48,2811.52,1712.96
Australia,New Zealand,Furniture,Online,Critical,2020-04-11,468827,2020-04-24,295,94.47,51.14,27868.65,15086.3,12782.35
Europe,UK,Office Supplies,Offline,Critical,2023-07-08,352167,2023-07-13,111,367.31,266.65,40771.41,29598.15,11173.26
North America,Mexico,Beverages,Offline,Critical,2021-09-04,706930,2021-09-13,341,27.51,24.22,9380.91,8259.02,1121.89
North America,Mexico,Electronics,Offline,Critical,2021-06-13,351616,2021-06-29,60,32.57,24.51,1954.2,1470.6,483.6
Asia,Indonesia,Electronics,Online,High,2021-12-01,766993,2021-12-18,267,185.78,161.33,49603.26,43075.11,6528.15
North America,Mexico,Electronics,Online,Low,2022-07-03,887094,2022-07-12,38,384.61,243.57,14615.18,9255.66,5359.52
Australia,Australia,Clothing,Online,Low,2023-04-03,571155,2023-04-10,331,410.21,302.09,135779.51,99991.79,35787.72
Europe,Germany,Electronics,Online,Critical,2022-02-10,147920,2022-02-21,182,184.15,102.61,33515.3,18675.02,14840.28
South America,Brazil,Food,Offline,Critical,2021-02-22,832230,2021-03-13,486,80.72,49.34,39229.92,23979.24,15250.68
South America,Brazil,Clothing,Online,Critical,2022-12-29,942845,2023-01-14,227,11.59,6.01,2630.93,1364.27,1266.66
North America,Mexico,Electronics,Online,Critical,2020-04-16,419669,2020-04-30,75,265.83,148.64,19937.25,11148.0,8789.25
Australia,Australia,Food,Online,Critical,2021-11-12,189595,2021-11-19,461,245.17,157.54,113023.37,72625.94,40397.43
Asia,Indonesia,Food,Offline,High,2022-02-24,453209,2022-03-07,488,113.56,86.17,55417.28,42050.96,13366.32
Africa,Kenya,Furniture,Offline,Low,2021-04-04,305422,2021-04-18,301,81.97,66.11,24672.97,19899.11,4773.86
North America,Canada,Electronics,Online,Low,2020-07-24,504085,2020-08-03,347,187.42,107.4,65034.74,37267.8,27766.94
North America,USA,Electronics,Offline,Low,2023-08-24,720530,2023-08-28,360,24.09,14.3,8672.4,5148.0,3524.4
South America,Argentina,Beverages,Offline,Critical,2020-01-13,275879,2020-01-24,493,462.61,335.86,228066.73,165578.98,62487.75
South America,Colombia,Furniture,Offline,Low,2023-07-07,667203,2023-07-09,218,455.25,256.33,99244.5,55879.94,43364.56
Europe,France,Clothing,Online,Critical,2022-08-28,774434,2022-09-16,277,87.83,72.98,24328.91,20215.46,4113.45
Australia,New Zealand,Office Supplies,Offline,Critical,2023-03-08,329940,2023-03-21,359,264.94,178.47,95113.46,64070.73,31042.73
Australia,Australia,Beverages,Online,Medium,2021-10-03,243168,2021-10-17,15,92.66,62.18,1389.9,932.7,457.2
South America,Brazil,Clothing,Online,Low,2022-08-19,596666,2022-09-02,216,276.81,196.75,59790.96,42498.0,17292.96
Europe,Italy,Electronics,Offline,High,2021-01-30,973706,2021-02-06,252,245.3,178.74,61815.6,45042.48,16773.12
Australia,New Zealand,Furniture,Online,High,2021-01-12,591863,2021-01-24,260,266.48,141.4,69284.8,36764.0,32520.8
South America,Colombia,Clothing,Offline,High,2022-02-11,324539,2022-02-19,86,49.17,26.43,4228.62,2272.98,1955.64
Europe,Italy,Clothing,Online,High,2020-03-11,954094,2020-03-27,86,74.38,63.89,6396.68,5494.54,902.14
Asia,India,Beverages,Offline,High,2020-02-08,719894,2020-02-11,480,450.03,272.82,216014.4,130953.6,85060.8
Europe,Germany,Food,Offline,Critical,2020-04-25,226403,2020-05-03,128,23.4,12.45,2995.2,1593.6,1401.6
Europe,Spain,Clothing,Online,Medium,2020-08-11,724556,2020-08-30,258,121.29,64.15,31292.82,16550.7,14742.12
South America,Colombia,Furniture,Offline,Medium,2020-05-28,375305,2020-06-13,312,244.2,126.76,76190.4,39549.12,36641.28
Asia,South Korea,Beverages,Offline,Low,2021-08-31,247716,2021-09-12,485,150.52,98.69,73002.2,47864.65,25137.55
North America,Canada,Electronics,Online,High,2022-09-08,757660,2022-09-19,291,387.46,334.41,112750.86,97313.31,15437.55
Australia,New Zealand,Beverages,Online,Low,2020-12-11,418234,2020-12-30,471,418.67,267.18,197193.57,125841.78,71351.79
South America,Colombia,Beverages,Online,Low,2021-03-29,900149,2021-04-05,100,407.57,323.79,40757.0,32379.0,8378.0
Africa,Egypt,Beverages,Online,Critical,2021-06-24,408817,2021-07-14,114,214.2,188.29,24418.8,21465.06,2953.74
North America,USA,Office Supplies,Online,Medium,2020-04-13,755759,2020-04-22,415,298.15,193.51,123732.25,80306.65,43425.6
South America,Colombia,Electronics,Online,Medium,2022-05-03,532975,2022-05-09,202,198.64,118.75,40125.28,23987.5,16137.78
North America,Canada,Furniture,Online,Low,2021-01-28,435910,2021-02-05,222,19.71,10.55,4375.62,2342.1,2033.52
Europe,France,Electronics,Online,High,2020-07-09,409376,2020-07-25,321,370.37,218.59,118888.77,70167.39,48721.38
Europe,Spain,Clothing,Offline,Medium,2023-07-03,952504,2023-07-08,253,418.51,237.94,105883.03,60198.82,45684.21
Africa,Kenya,Electronics,Online,Medium,2022-10-25,994825,2022-11-13,143,232.78,157.24,33287.54,22485.32,10802.22
Australia,Australia,Electronics,Offline,Low,2023-12-11,343532,2023-12-27,340,475.45,332.2,161653.0,112948.0,48705.0
Asia,South Korea,Furniture,Offline,Critical,2021-07-01,792597,2021-07-04,371,430.57,278.73,159741.47,103408.83,56332.64
Europe,UK,Electronics,Offline,Low,2020-04-28,564222,2020-05-08,37,219.7,175.57,8128.9,6496.09,1632.81
South America,Colombia,Office Supplies,Online,Medium,2022-07-30,601245,2022-08-10,114,113.98,85.38,12993.72,9733.32,3260.4
Africa,Nigeria,Electronics,Offline,High,2023-11-28,758991,2023-12-15,414,184.19,133.17,76254.66,55132.38,21122.28
South America,Chile,Furniture,Offline,Medium,2021-05-21,612006,2021-06-09,355,497.13,400.92,176481.15,142326.6,34154.55
North America,USA,Electronics,Online,Medium,2020-07-24,219818,2020-07-28,196,431.46,331.47,84566.16,64968.12,19598.04
North America,Mexico,Electronics,Online,Critical,2020-07-16,667483,2020-07-18,154,10.45,6.78,1609.3,1044.12,565.18
Europe,Germany,Office Supplies,Online,Critical,2020-03-23,154067,2020-03-30,417,386.66,304.57,161237.22,127005.69,34231.53
Asia,India,Electronics,Offline,High,2023-01-15,232304,2023-01-28,379,171.2,126.34,64884.8,47882.86,17001.94
North America,USA,Office Supplies,Offline,High,2022-03-31,914126,2022-04-12,490,390.45,224.03,191320.5,109774.7,81545.8
South America,Argentina,Clothing,Online,Low,2023-07-27,711546,2023-08-10,296,425.72,266.3,126013.12,78824.8,47188.32
Africa,Egypt,Office Supplies,Online,Low,2020-11-28,810007,2020-12-02,492,221.13,184.89,108795.96,90965.88,17830.08
Australia,Australia,Clothing,Offline,High,2022-04-08,457361,2022-04-14,239,11.02,6.6,2633.78,1577.4,1056.38
South America,Argentina,Furniture,Offline,Medium,2022-12-20,861340,2023-01-08,90,84.4,72.58,7596.0,6532.2,1063.8
North America,USA,Clothing,Online,Medium,2023-09-16,482979,2023-09-21,410,245.82,207.03,100786.2,84882.3,15903.9
North America,Canada,Electronics,Offline,Critical,2021-06-29,387153,2021-07-08,325,361.7,317.99,117552.5,103346.75,14205.75
South America,Colombia,Food,Offline,High,2021-02-28,437735,2021-03-04,89,284.63,221.48,25332.07,19711.72,5620.35
South America,Chile,Office Supplies,Online,Medium,2023-06-29,905984,2023-07-11,426,32.08,16.58,13666.08,7063.08,6603.0
Australia,Australia,Electronics,Online,Low,2023-11-02,786873,2023-11-08,265,456.48,343.72,120967.2,91085.8,29881.4
South America,Colombia,Electronics,Offline,Medium,2023-10-18,352047,2023-10-26,263,52.31,27.08,13757.53,7122.04,6635.49
Africa,South Africa,Furniture,Online,Medium,2021-04-16,420567,2021-04-27,398,44.67,36.42,17778.66,14495.16,3283.5
Africa,Nigeria,Office Supplies,Online,Critical,2021-12-04,878582,2021-12-20,408,76.81,53.66,31338.48,21893.28,9445.2
Africa,Egypt,Food,Offline,Critical,2020-05-08,464885,2020-05-14,136,409.02,241.73,55626.72,32875.28,22751.44
Australia,New Zealand,Office Supplies,Offline,High,2021-04-11,725576,2021-04-14,351,7.16,5.2,2513.16,1825.2,687.96
South America,Brazil,Furniture,Online,Medium,2023-11-03,190994,2023-11-09,306,381.09,196.27,116613.54,60058.62,56554.92
South America,Argentina,Furniture,Offline,Medium,2022-08-23,917807,2022-09-05,34,180.08,107.02,6122.72,3638.68,2484.04
Australia,Australia,Beverages,Online,Medium,2023-10-09,908955,2023-10-28,438,16.11,9.32,7056.18,4082.16,2974.02
Asia,South Korea,Furniture,Online,Medium,2020-11-04,292657,2020-11-16,156,87.13,55.75,13592.28,8697.0,4895.28
Australia,Australia,Office Supplies,Online,High,2022-04-18,380432,2022-04-21,34,475.84,356.31,16178.56,12114.54,4064.02
North America,Mexico,Clothing,Online,High,2023-10-01,981642,2023-10-16,470,242.37,125.24,113913.9,58862.8,55051.1
Australia,New Zealand,Beverages,Offline,Critical,2021-05-20,310271,2021-06-01,424,412.32,271.26,174823.68,115014.24,59809.44
Africa,Kenya,Beverages,Online,Critical,2021-03-16,386017,2021-04-03,158,124.91,93.98,19735.78,14848.84,4886.94
South America,Argentina,Clothing,Offline,High,2020-09-07,964523,2020-09-26,495,144.39,114.78,71473.05,56816.1,14656.95
Europe,France,Electronics,Offline,Medium,2022-12-27,259328,2023-01-02,384,143.82,85.17,55226.88,32705.28,22521.6
South America,Brazil,Food,Offline,Critical,2022-12-12,853586,2022-12-16,413,234.82,178.9,96980.66,73885.7,23094.96
Australia,New Zealand,Beverages,Online,Medium,2022-03-14,375963,2022-03-23,263,61.58,46.15,16195.54,12137.45,4058.09
Asia,India,Clothing,Online,High,2023-11-09,609725,2023-11-25,117,238.8,168.14,27939.6,19672.38,8267.22
Australia,New Zealand,Beverages,Online,High,2022-08-23,886133,2022-08-25,94,143.79,113.07,13516.26,10628.58,2887.68
Australia,Australia,Food,Online,Low,2023-02-20,128805,2023-02-24,93,433.53,267.7,40318.29,24896.1,15422.19
Australia,New Zealand,Electronics,Online,Low,2022-07-06,182427,2022-07-18,341,371.82,225.9,126790.62,77031.9,49758.72
Asia,Indonesia,Electronics,Online,Low,2023-08-07,667754,2023-08-22,251,66.48,34.59,16686.48,8682.09,8004.39
Europe,Spain,Furniture,Offline,Medium,2021-11-08,968072,2021-11-13,71,292.58,163.89,20773.18,11636.19,9136.99
Australia,New Zealand,Clothing,Offline,Critical,2021-03-05,983088,2021-03-13,40,34.92,31.0,1396.8,1240.0,156.8
Australia,Australia,Furniture,Offline,Critical,2023-07-03,451354,2023-07-23,64,483.83,291.22,30965.12,18638.08,12327.04
North America,Mexico,Office Supplies,Offline,Low,2020-04-17,231235,2020-04-22,145,303.55,243.15,44014.75,35256.75,8758.0
Europe,Spain,Beverages,Offline,Medium,2020-11-11,180896,2020-11-20,411,239.49,165.0,98430.39,67815.0,30615.39
South America,Brazil,Electronics,Online,Medium,2023-04-30,474881,2023-05-03,244,462.14,405.14,112762.16,98854.16,13908.0
North America,USA,Electronics,Online,Critical,2020-11-16,559942,2020-11-23,281,176.16,136.07,49500.96,38235.67,11265.29
South America,Brazil,Clothing,Online,Critical,2023-01-08,997479,2023-01-17,202,447.09,273.88,90312.18,55323.76,34988.42
South America,Brazil,Office Supplies,Offline,Medium,2022-12-18,583311,2022-12-28,365,8.35,6.96,3047.75,2540.4,507.35
Australia,New Zealand,Furniture,Offline,High,2022-12-30,228179,2023-01-04,402,155.73,130.2,62603.46,52340.4,10263.06
North America,Mexico,Beverages,Offline,Low,2023-04-16,477760,2023-05-02,173,428.38,277.73,74109.74,48047.29,26062.45
Africa,Nigeria,Furniture,Offline,Critical,2020-01-02,496465,2020-01-10,446,340.55,216.59,151885.3,96599.14,55286.16
Europe,Germany,Furniture,Offline,Medium,2022-08-14,677778,2022-08-18,406,170.24,117.41,69117.44,47668.46,21448.98
Africa,Kenya,Furniture,Online,Medium,2022-02-16,295619,2022-02-25,78,119.91,107.11,9352.98,8354.58,998.4
Asia,Japan,Clothing,Offline,Medium,2021-12-11,382427,2021-12-26,379,361.64,309.67,137061.56,117364.93,19696.63
North America,USA,Beverages,Online,High,2021-11-27,217763,2021-12-14,97,452.72,352.7,43913.84,34211.9,9701.94
North America,Canada,Food,Online,Low,2020-10-22,588813,2020-10-27,129,229.54,161.48,29610.66,20830.92,8779.74
Asia,South Korea,Electronics,Offline,Low,2023-08-13,207728,2023-08-20,273,10.36,5.86,2828.28,1599.78,1228.5
Africa,South Africa,Furniture,Online,High,2020-12-31,883913,2021-01-07,126,92.82,71.93,11695.32,9063.18,2632.14
Asia,South Korea,Clothing,Online,Medium,2020-01-05,135689,2020-01-16,362,176.72,148.89,63972.64,53898.18,10074.46
North America,Canada,Office Supplies,Online,Low,2023-01-10,804710,2023-01-28,120,66.97,59.33,8036.4,7119.6,916.8
Africa,Kenya,Food,Online,Low,2020-10-23,388957,2020-11-01,73,360.29,233.74,26301.17,17063.02,9238.15
Europe,France,Clothing,Offline,Medium,2023-03-04,102894,2023-03-06,180,455.85,350.39,82053.0,63070.2,18982.8
South America,Brazil,Clothing,Offline,Medium,2021-10-18,385462,2021-11-06,336,37.67,19.76,12657.12,6639.36,6017.76
Australia,New Zealand,Office Supplies,Online,High,2021-04-12,367261,2021-04-22,103,257.6,169.39,26532.8,17447.17,9085.63
North America,Mexico,Electronics,Offline,Critical,2023-02-17,408043,2023-02-26,266,305.35,191.63,81223.1,50973.58,30249.52
North America,Mexico,Furniture,Online,High,2022-05-28,459645,2022-06-09,125,234.33,159.84,29291.25,19980.0,9311.25
Asia,India,Food,Offline,Low,2020-08-30,760716,2020-09-17,493,163.96,140.62,80832.28,69325.66,11506.62
Australia,New Zealand,Food,Offline,Critical,2020-01-16,278240,2020-01-31,412,281.63,143.64,116031.56,59179.68,56851.88
North America,USA,Electronics,Online,Critical,2020-07-11,390574,2020-07-18,2,403.63,316.42,807.26,632.84,174.42
Europe,Germany,Beverages,Offline,Medium,2022-03-12,411854,2022-03-20,222,448.62,247.67,99593.64,54982.74,44610.9
Asia,South Korea,Food,Offline,Low,2021-03-05,412656,2021-03-22,334,238.94,208.03,79805.96,69482.02,10323.94
Africa,Nigeria,Food,Online,Critical,2020-06-08,359054,2020-06-12,2,14.52,9.42,29.04,18.84,10.2
South America,Colombia,Food,Online,Medium,2021-08-14,295841,2021-08-24,276,271.45,179.19,74920.2,49456.44,25463.76
South America,Colombia,Furniture,Offline,Critical,2022-03-20,239343,2022-04-06,224,363.47,200.51,81417.28,44914.24,36503.04
Asia,China,Furniture,Online,Low,2021-09-11,240427,2021-09-24,191,413.25,300.29,78930.75,57355.39,21575.36
South America,Brazil,Furniture,Offline,Critical,2022-03-15,450590,2022-04-04,247,302.07,177.66,74611.29,43882.02,30729.27
Africa,South Africa,Beverages,Offline,Medium,2022-05-16,282309,2022-05-27,342,409.21,254.61,139949.82,87076.62,52873.2
Australia,New Zealand,Office Supplies,Offline,Critical,2020-06-22,781369,2020-06-30,242,308.39,235.69,74630.38,57036.98,17593.4
North America,Mexico,Beverages,Offline,Critical,2021-07-08,677623,2021-07-18,68,315.84,199.61,21477.12,13573.48,7903.64
Australia,New Zealand,Food,Offline,Critical,2022-07-06,101495,2022-07-08,61,6.74,5.09,411.14,310.49,100.65
South America,Chile,Food,Online,Medium,2022-09-08,718508,2022-09-26,27,367.92,258.04,9933.84,6967.08,2966.76
Europe,Spain,Clothing,Offline,Low,2020-07-10,961375,2020-07-18,134,342.61,303.82,45909.74,40711.88,5197.86
Europe,Spain,Furniture,Offline,Low,2021-08-13,716045,2021-08-28,93,295.87,224.05,27515.91,20836.65,6679.26
Europe,UK,Furniture,Offline,Medium,2023-08-15,349422,2023-08-20,90,393.7,208.29,35433.0,18746.1,16686.9
Africa,Kenya,Food,Offline,Critical,2022-05-23,703506,2022-06-12,61,203.12,133.61,12390.32,8150.21,4240.11
Africa,Nigeria,Clothing,Online,Critical,2022-04-13,228050,2022-04-23,75,135.79,99.29,10184.25,7446.75,2737.5
Australia,New Zealand,Furniture,Offline,Low,2023-01-20,606492,2023-02-02,390,123.58,101.51,48196.2,39588.9,8607.3
